id,category,question,expected_answer
1,limit,จงหาค่า \lim_{x \to 1} (\sqrt{x^3} - \ln(x) + 2x),"3"
2,limit,"จงหาค่า \lim_{x \to 3} \frac{x - 2}{x^2 + 2}","\frac{1}{11}"
3,limit,"จงหาค่า \lim_{x \to 0} \sqrt{x+4} \cdot e^x","2"
4,limit,"จงหาค่า \lim_{x \to 3} \frac{x^2 - 6x + 9}{3-x}","0"
5,limit,"จงหาค่า \lim_{x \to -1} \frac{2x^2 + 7x + 5}{x+1}","3"
6,limit,"จงหาค่า \lim_{x \to 9} \frac{\sqrt{x} - 3}{x - 9}","\frac{1}{6}"
7,limit,"จงหาค่า \lim_{x \to 0} \frac{2 - \sqrt{x^2 + 4}}{x^2}","-\frac{1}{4}"
8,limit,จงหาค่า \lim_{x \to 0} \frac{x}{\sqrt[3]{8+x} - 2},12
9,limit,"จงหาค่า \lim_{x \to 2} \left( \frac{x^2}{x-2} - \frac{4}{x-2} \right)","4"
10,limit,"จงหาค่า \lim_{x \to 3} \frac{5 - \sqrt{6x+7}}{12 - 7x + x^2}","\frac{3}{5}"
11,diff,"กำหนดให้ f(x) = x^2 + 1 จงหา f'(x) โดยใช้นิยามของอนุพันธ์","2x"
12,diff,"กำหนดให้ f(x) = \sqrt{x-3} จงหา f'(x) โดยใช้นิยามของอนุพันธ์","\frac{1}{2\sqrt{x-3}}"
13,diff,"กำหนดให้ y = \log_2(2x+1) + x^3 - \ln(2x) จงหา \frac{dy}{dx}","\frac{2}{(2x+1)\ln 2} + 3x^2 - \frac{1}{x}"
14,diff,"กำหนดให้ y = \frac{4x^2+1}{x-1} จงหา \frac{dy}{dx}","\frac{4x^2 - 8x - 1}{(x-1)^2}"
15,diff,"กำหนดให้ y = \frac{e^{x+1}}{2^x} จงหา \frac{dy}{dx}","\frac{e^{x+1}(1 - \ln 2)}{2^x}"
16,diff,"กำหนดให้ y = f(x^2 - 1) จงหา \frac{dy}{dx}","2x \cdot f'(x^2 - 1)"
17,diff,"กำหนดให้ y = e^{e^{e^{2x}}} จงหา \frac{dy}{dx}","2e^{2x} \cdot e^{e^{2x}} \cdot e^{e^{e^{2x}}}"
18,diff,"จงหา \frac{d}{dx}[\sin(2x) - \sin^{-1}(x)]","2\cos(2x) - \frac{1}{\sqrt{1-x^2}}"
19,diff,"กำหนดให้ y = \cos(f(\tan x)) จงหา \frac{dy}{dx}","-\sin(f(\tan x)) \cdot f'(\tan x) \cdot \sec^2(x)"
20,diff,"กำหนดให้ y = \frac{\cot x}{\sin^{-1} x} จงหา \frac{dy}{dx}","\frac{-\csc^2(x)\sin^{-1}(x) - \frac{\cot x}{\sqrt{1-x^2}}}{(\sin^{-1} x)^2}"
21,integral,"จงหา \int (x^5 - 2) dx","\frac{x^6}{6} - 2x + C"
22,integral,จงหา \int (x^{-2} + \frac{4}{x^{-2}}) dx,-\frac{1}{x} + \frac{4x^3}{3} + c
23,integral,"จงหา \int (e^x - \sin x + \sec^2 x) dx","e^x + \cos x + \tan x + C"
24,integral,จงหา \int (4^x - \frac{2}{x} - \frac{1}{4+x^2}) dx,\frac{4^x}{\ln 4} - 2\ln|x| - \frac{1}{2}\tan^{-1}(\frac{x}{2}) + c
25,integral,"จงหา \int e^{5x} dx","\frac{1}{5}e^{5x} + C"
26,integral,"จงหา \int \frac{x}{x^2+1} dx","\frac{1}{2}\ln(x^2+1) + C"
27,integral,"จงหา \int \frac{1}{\sqrt{x+1}} dx","2\sqrt{x+1} + C"
28,integral,"จงหา \int x\sqrt{x+1} dx","\frac{2}{5}(x+1)^{5/2} - \frac{2}{3}(x+1)^{3/2} + C"
29,integral,"จงหา \int \ln x dx","x\ln x - x + C"
30,integral,"จงหา \int x e^{2x} dx","\frac{x e^{2x}}{2} - \frac{e^{2x}}{4} + C"
